optionSymbol;underlying;expiration;side;strike;firstTraded;dte;updated;bid;bidSize;mid;ask;askSize;last;openInterest;volume;inTheMoney;intrinsicValue;extrinsicValue;underlyingPrice;iv;delta;gamma;theta;vega;ticker;date
MSFT260320C00175000;MSFT;1774036800;call;175.0;1744119000;14;1772830800;232.5;1;234.3;236.1;1;220.0;13;0;True;233.96;0.34;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00180000;MSFT;1774036800;call;180.0;1744119000;14;1772830800;227.55;1;229.35;231.15;1;219.0;9;0;True;228.96;0.39;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00185000;MSFT;1774036800;call;185.0;1744119000;14;1772830800;222.4;1;224.275;226.15;1;214.05;0;0;True;223.96;0.315;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00190000;MSFT;1774036800;call;190.0;1743514200;14;1772830800;217.35;1;219.25;221.15;1;211.3;18;0;True;218.96;0.29;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00195000;MSFT;1774036800;call;195.0;1741185000;14;1772830800;212.5;1;214.325;216.15;60;237.0;0;0;True;213.96;0.365;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00200000;MSFT;1774036800;call;200.0;1741185000;14;1772830800;207.6;1;209.375;211.15;1;195.5;9;0;True;208.96;0.415;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00210000;MSFT;1774036800;call;210.0;1738333800;14;1772830800;197.55;1;199.35;201.15;1;178.63;3;0;True;198.96;0.39;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00220000;MSFT;1774036800;call;220.0;1738074600;14;1772830800;187.45;1;189.325;191.2;60;173.4;0;0;True;188.96;0.365;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00230000;MSFT;1774036800;call;230.0;1737729000;14;1772830800;177.55;1;179.375;181.2;1;256.73;3;0;True;178.96;0.415;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00240000;MSFT;1774036800;call;240.0;1737729000;14;1772830800;167.6;1;169.4;171.2;1;185.49;32;0;True;168.96;0.44;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00250000;MSFT;1774036800;call;250.0;1737729000;14;1772830800;157.65;1;159.45;161.25;1;133.8;30;0;True;158.96;0.49;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00260000;MSFT;1774036800;call;260.0;1737729000;14;1772830800;147.6;1;149.425;151.25;61;152.06;25;2;True;148.96;0.465;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00270000;MSFT;1774036800;call;270.0;1737729000;14;1772830800;137.65;1;139.45;141.25;61;136.02;37;0;True;138.96;0.49;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00280000;MSFT;1774036800;call;280.0;1737729000;14;1772830800;127.7;1;129.5;131.3;1;107.5;78;0;True;128.96;0.54;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00290000;MSFT;1774036800;call;290.0;1737729000;14;1772830800;117.85;8;119.575;121.3;66;105.45;32;0;True;118.96;0.615;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00300000;MSFT;1774036800;call;300.0;1737729000;14;1772830800;107.55;2;109.45;111.35;65;107.27;309;0;True;108.96;0.49;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00310000;MSFT;1774036800;call;310.0;1737729000;14;1772830800;97.95;22;99.675;101.4;81;77.3;42;0;True;98.96;0.715;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00315000;MSFT;1774036800;call;315.0;1770388200;14;1772830800;93.0;20;94.7;96.4;66;84.0;1;0;True;93.96;0.74;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00320000;MSFT;1774036800;call;320.0;1737729000;14;1772830800;88.0;25;89.725;91.45;148;89.03;117;0;True;88.96;0.765;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00325000;MSFT;1774036800;call;325.0;1770388200;14;1772830800;83.05;16;84.775;86.5;71;68.1;2;0;True;83.96;0.815;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00330000;MSFT;1774036800;call;330.0;1737729000;14;1772830800;78.1;25;79.825;81.55;66;81.42;86;0;True;78.96;0.865;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00335000;MSFT;1774036800;call;335.0;1770388200;14;1772830800;73.15;24;74.9;76.65;65;75.35;43;0;True;73.96;0.94;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00340000;MSFT;1774036800;call;340.0;1737729000;14;1772830800;68.3;25;70.025;71.75;97;70.6;106;2;True;68.96;1.065;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00345000;MSFT;1774036800;call;345.0;1770301800;14;1772830800;63.4;42;64.95;66.5;42;64.9;117;63;True;63.96;0.99;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00350000;MSFT;1774036800;call;350.0;1737729000;14;1772830800;59.05;62;60.225;61.4;67;60.0;813;12;True;58.96;1.265;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00355000;MSFT;1774036800;call;355.0;1769092200;14;1772830800;53.6;25;54.825;56.05;22;55.45;124;2;True;53.96;0.865;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00360000;MSFT;1774036800;call;360.0;1737729000;14;1772830800;49.1;4;50.8;52.5;75;52.01;346;47;True;48.96;1.84;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00365000;MSFT;1774036800;call;365.0;1767709800;14;1772830800;44.7;35;46.1;47.5;76;46.42;181;2;True;43.96;2.14;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00370000;MSFT;1774036800;call;370.0;1737729000;14;1772830800;40.55;25;41.4;42.25;8;41.9;572;4;True;38.96;2.44;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00372500;MSFT;1774036800;call;372.5;1771857000;14;1772830800;37.95;25;39.425;40.9;84;39.05;189;17;True;36.46;2.965;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00375000;MSFT;1774036800;call;375.0;1767364200;14;1772830800;34.85;25;36.6;38.35;84;36.5;213;60;True;33.96;2.64;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00377500;MSFT;1774036800;call;377.5;1771857000;14;1772830800;33.25;53;33.975;34.7;2;34.6;327;20;True;31.46;2.515;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00380000;MSFT;1774036800;call;380.0;1737729000;14;1772830800;31.4;32;32.375;33.35;35;34.0;1068;10;True;28.96;3.415;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00382500;MSFT;1774036800;call;382.5;1771857000;14;1772830800;29.65;27;30.325;31.0;26;30.05;179;0;True;26.46;3.865;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00385000;MSFT;1774036800;call;385.0;1767364200;14;1772830800;27.6;20;28.05;28.5;25;28.7;964;11;True;23.96;4.09;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00387500;MSFT;1774036800;call;387.5;1771857000;14;1772830800;25.55;2;25.8;26.05;11;26.64;409;32;True;21.46;4.34;408.96;;;;;;MSFT;2026-03-06
MSFT260320C00390000;MSFT;1774036800;call;390.0;1737729000;14;1772830800;23.55;20;23.75;23.95;5;23.89;3906;127;True;18.96;4.79;408.96;;;;;;MSFT;2026-03-06
