trade_date;maturity_date;maturity;strike;spot;option_price;option_type;implied_vol;ticker
2026-03-06;2026-03-20;0.038356164383561646;175.0;408.96;0.035;put;1.4726645848617554;MSFT
2026-03-06;2026-03-20;0.038356164383561646;180.0;408.96;1.065;put;2.144917224649787;MSFT
2026-03-06;2026-03-20;0.038356164383561646;185.0;408.96;0.05;put;1.4270312779483794;MSFT
2026-03-06;2026-03-20;0.038356164383561646;190.0;408.96;0.88;put;1.9557398685719969;MSFT
2026-03-06;2026-03-20;0.038356164383561646;195.0;408.96;0.88;put;1.895704890268326;MSFT
2026-03-06;2026-03-20;0.038356164383561646;200.0;408.96;0.01;put;1.1293800465850832;MSFT
2026-03-06;2026-03-20;0.038356164383561646;210.0;408.96;0.015;put;1.09035570136261;MSFT
2026-03-06;2026-03-20;0.038356164383561646;220.0;408.96;0.02;put;1.0429294870929717;MSFT
2026-03-06;2026-03-20;0.038356164383561646;230.0;408.96;0.225;put;1.2461979744238856;MSFT
2026-03-06;2026-03-20;0.038356164383561646;240.0;408.96;0.065;put;1.0101540915789604;MSFT
2026-03-06;2026-03-20;0.038356164383561646;250.0;408.96;0.5;put;1.2064619498851301;MSFT
2026-03-06;2026-03-20;0.038356164383561646;260.0;408.96;0.08;put;0.8888634320907594;MSFT
2026-03-06;2026-03-20;0.038356164383561646;270.0;408.96;0.03;put;0.7440217900691034;MSFT
2026-03-06;2026-03-20;0.038356164383561646;280.0;408.96;0.03;put;0.683728127658844;MSFT
2026-03-06;2026-03-20;0.038356164383561646;290.0;408.96;0.12;put;0.7246240583529474;MSFT
2026-03-06;2026-03-20;0.038356164383561646;300.0;408.96;0.04;put;0.5849155673127174;MSFT
2026-03-06;2026-03-20;0.038356164383561646;310.0;408.96;0.055;put;0.5463048782422542;MSFT
2026-03-06;2026-03-20;0.038356164383561646;315.0;408.96;0.09;put;0.5474242532472611;MSFT
2026-03-06;2026-03-20;0.038356164383561646;320.0;408.96;0.115;put;0.5335637919232845;MSFT
2026-03-06;2026-03-20;0.038356164383561646;325.0;408.96;0.15;put;0.5211618559652567;MSFT
2026-03-06;2026-03-20;0.038356164383561646;330.0;408.96;0.205;put;0.5122652684653997;MSFT
2026-03-06;2026-03-20;0.038356164383561646;335.0;408.96;0.265;put;0.499611800956726;MSFT
2026-03-06;2026-03-20;0.038356164383561646;340.0;408.96;0.355;put;0.48991412719130506;MSFT
2026-03-06;2026-03-20;0.038356164383561646;345.0;408.96;0.48;put;0.48145801792824283;MSFT
2026-03-06;2026-03-20;0.038356164383561646;350.0;408.96;0.635;put;0.47165544000899795;MSFT
2026-03-06;2026-03-20;0.038356164383561646;355.0;408.96;0.83;put;0.46117843566900496;MSFT
2026-03-06;2026-03-20;0.038356164383561646;360.0;408.96;1.075;put;0.4501909176486135;MSFT
