portfolio;underlying;valuation_date;maturity_date;option_type;strike;leg_quantity;position_quantity;market_value;delta;gamma;vega;theta;rho;nb_legs;nb_errors;warnings
Options;TTE;2026-04-27;2026-05-29;call;70.0;100000.0;100000.0;796726.3601394357;84749.96781959738;2990.996632636786;538786.9233420539;-1174267.8170204444;503682.07393799763;1;0;"vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;TTE;2026-04-27;2026-05-29;call;80.0;-100000.0;100000.0;-169984.93630525394;-37069.5560255472;-5401.646710935555;-863476.7576758664;1560691.6502222002;-235959.5917419603;1;0;"vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;TTE;2026-04-27;2026-06-30;call;55.0;250000.0;250000.0;5623298.459100511;244814.7172505553;921.3329653495629;403502.6074971371;-748543.72216145;2327487.047096083;1;0;"vol extrapolee depuis maturite marche 0.1452 an; strike extrapole/borne sur [58.00, 108.00]; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; strike extrapole/borne sur [58.00, 108.00]; greeks analytiques bs"
Options;TTE;2026-04-27;2026-06-30;call;65.0;-500000.0;250000.0;-6433264.192723947;-456268.361352403;-7564.36715647919;-2569144.5893951263;2958953.303553517;-5047424.108724259;1;0;"vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;TTE;2026-04-27;2026-06-30;call;70.0;250000.0;250000.0;2119204.354454913;202949.40111387463;7099.377399177541;2179998.957565103;-2098788.310120675;2375269.6841687793;1;0;"vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;TTE;2026-04-27;2026-06-30;call;75.0;200000.0;200000.0;646689.7599458596;64866.587507114986;3876.2198516542912;1220291.232478495;-266742.48615957994;821448.2597931754;2;0;"vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs; vol extrapolee depuis maturite marche 0.1452 an; barriere pricee par local_vol_mc (30000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1452 an; greeks barriere/PDI/PDO par differences finies MC local_vol_mc (30000 paths, seed 12345)"
Options;TTE;2026-04-27;2026-06-30;put;75.0;100000.0;100000.0;148228.95072187643;-34473.64163885506;6841.5559425409765;0.0;-1063737.0018781123;-408008.66377832537;1;0;"vol extrapolee depuis maturite marche 0.1452 an; barriere pricee par local_vol_mc (30000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1452 an; greeks barriere/PDI/PDO par differences finies MC local_vol_mc (30000 paths, seed 12345)"
Options;TTE;2026-04-27;2026-06-30;call;80.0;-100000.0;100000.0;-250881.90690999283;-41317.483364485066;-4342.416783129736;-1258819.1859332114;1054951.5254142173;-515228.8673305616;1;0;"vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;TTE;2026-04-27;2026-09-30;put;55.0;100000.0;-100000.0;35397.50031185469;-4618.37929574499;567.164025069353;488417.7770249594;-185238.51275616902;-167492.7970177098;1;0;"vol extrapolee depuis maturite marche 0.3945 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.3945 an; greeks analytiques bs"
Options;TTE;2026-04-27;2026-09-30;put;65.0;-100000.0;-100000.0;-116028.5253730045;14420.906816780498;-1577.4818658356119;-1145945.7268596275;357383.19439758983;525347.4474504255;1;0;"vol extrapolee depuis maturite marche 0.3945 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.3945 an; greeks analytiques bs"
