portfolio;underlying;valuation_date;maturity_date;option_type;strike;leg_quantity;position_quantity;market_value;delta;gamma;vega;theta;rho;nb_legs;nb_errors;warnings
Options;AAPL;2026-02-27;2026-03-30;call;240.0;100000.0;100000.0;3300850.483786317;90722.34781682517;625.7407799749852;1312026.361689912;-3382218.4624213916;1808221.4129110088;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-03-30;call;280.0;-100000.0;100000.0;-508834.6658764763;-36744.91522173374;-1789.6915474531024;-2975853.1352436123;5017483.758648349;-802708.2216354507;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;200.0;250000.0;250000.0;18802883.23621931;234979.89303601722;502.0206809443682;4690969.530652737;-4285505.997142624;15127573.198801043;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;230.0;-500000.0;250000.0;-24185675.479602337;-423683.23529364966;-2290.34422756328;-18557548.089553773;12360528.86908177;-30550470.830409605;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;250.0;250000.0;250000.0;8135788.196024138;183377.58413888156;1741.4214209813656;12921554.490676697;-7281738.07694482;14008702.289025519;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;260.0;200000.0;200000.0;2738076.4037915915;60666.601088589945;949.5173103462729;5778835.4474637555;-2010165.9147266329;6278672.65983177;2;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; barriere pricee par heston_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks barriere/PDI/PDO par differences finies MC heston_mc (1000 paths, seed 12345); vega non calculee pour heston_mc"
Options;AAPL;2026-02-27;2026-06-30;put;260.0;100000.0;100000.0;933178.5565381999;-25816.98898935944;-350.0524522878369;;-2225428.5385910827;-2223877.6553065167;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; barriere pricee par heston_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks barriere/PDI/PDO par differences finies MC heston_mc (1000 paths, seed 12345); vega non calculee pour heston_mc"
Options;AAPL;2026-02-27;2026-06-30;call;280.0;-100000.0;100000.0;-1418571.174096138;-47881.18845725583;-955.6598794764413;-6268570.647624903;2891200.7956937165;-3895596.5732172965;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-09-30;put;200.0;100000.0;-100000.0;363318.5222151507;-9298.49736712658;223.55596382876408;3460999.8979131314;-946138.3064837513;-1698658.5674167674;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vol extrapolee depuis maturite marche 0.5671 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vol extrapolee depuis maturite marche 0.5671 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-09-30;put;230.0;-100000.0;-100000.0;-784268.7625041847;18977.3350988828;-407.3139965074258;-5641229.825135469;1316999.4922080126;3491991.811332423;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vol extrapolee depuis maturite marche 0.5671 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vol extrapolee depuis maturite marche 0.5671 an; greeks analytiques bs"
