portfolio;underlying;valuation_date;maturity_date;option_type;strike;leg_quantity;position_quantity;market_value;delta;gamma;vega;theta;rho;nb_legs;nb_errors;warnings
Options;AAPL;2026-02-27;2026-03-30;call;240.0;100000.0;100000.0;2811616.041117446;83618.92095779079;852.5673377755655;1906093.545554176;-4929417.995041741;1641215.1401635534;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-03-30;call;280.0;-100000.0;100000.0;-266585.6424484929;-24348.01421400623;-1633.9266382496064;-2417118.362792178;3765263.7626777873;-524776.5509281653;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;200.0;250000.0;250000.0;18758099.57867161;213120.03559186446;655.1333732087278;8858193.567773487;-8916991.559561748;12690579.336751867;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;230.0;-500000.0;250000.0;-23656547.94592757;-386054.0699989697;-2322.5161691146905;-23210762.017196506;17476566.153833378;-26466798.115333047;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;250.0;250000.0;250000.0;7474085.571944372;169003.58107492368;1753.0952867353394;13809401.137757292;-8211610.537852796;12557640.319056878;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-06-30;call;260.0;200000.0;200000.0;2300423.203511162;57362.02750181779;-258.5047532927407;5568389.882794885;-3186518.726961838;5262247.406671755;2;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; barriere pricee par gbm_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks barriere/PDI/PDO par differences finies MC gbm_mc (1000 paths, seed 12345)"
Options;AAPL;2026-02-27;2026-06-30;put;260.0;100000.0;100000.0;1384864.2169614378;-42293.68956653371;69.04660854214605;6445140.534225987;-2077143.6664225974;-10656142.427453829;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; barriere pricee par gbm_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks barriere/PDI/PDO par differences finies MC gbm_mc (1000 paths, seed 12345)"
Options;AAPL;2026-02-27;2026-06-30;call;280.0;-100000.0;100000.0;-1036290.0927968824;-40885.91911607308;-1017.0891514076146;-5969910.277256997;2563292.1639032555;-3298095.1811507614;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-09-30;put;200.0;100000.0;-100000.0;1442196.8533684975;-18236.226949381205;227.4162024790938;5374897.59633805;-2384523.5799223944;-3693105.570007861;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;AAPL;2026-02-27;2026-09-30;put;230.0;-100000.0;-100000.0;-1560914.5502011443;25425.86918139027;-372.89531452678506;-6514047.595399664;2038779.9604580603;4884122.979666406;1;0;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
