portfolio;underlying;valuation_date;maturity_date;option_type;strike;leg_quantity;position_quantity;market_value;delta;gamma;vega;theta;rho;nb_legs;nb_errors;warnings
Options;AAPL;2026-04-27;2026-05-29;call;240.0;100000.0;100000.0;3310141.8135403693;90415.10049661339;630.8643259953875;1365439.1666394358;-3400047.3959253645;1858435.0778153776;1;0;"vanille pricee par bs; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-05-29;call;280.0;-100000.0;100000.0;-522499.9031990876;-37040.99190195527;-1766.139285153032;-3031423.0074347523;4958512.039524962;-834440.001868519;1;0;"vanille pricee par bs; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-06-30;call;200.0;250000.0;250000.0;18257915.76383361;241620.4429644432;385.9277109165804;2116011.7970882324;-4313832.431860968;8282427.777089697;1;0;"vol extrapolee depuis maturite marche 0.1425 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1425 an; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-06-30;call;230.0;-500000.0;250000.0;-22360376.86724376;-446354.76263340836;-2330.494833989273;-10481622.912100798;14079862.858415425;-17293772.09905701;1;0;"vol extrapolee depuis maturite marche 0.1425 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1425 an; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-06-30;call;250.0;250000.0;250000.0;6896979.749416346;192941.81153282535;2172.0809579107104;8579077.558790969;-9178203.770300392;7960868.333347409;1;0;"vol extrapolee depuis maturite marche 0.1425 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1425 an; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-06-30;call;260.0;200000.0;200000.0;2178768.789725737;64863.39973292587;-218.38623735783563;2855526.9182240283;-2739987.7863427354;3558124.2811675263;2;0;"vol extrapolee depuis maturite marche 0.1425 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1425 an; greeks analytiques bs; vol extrapolee depuis maturite marche 0.1425 an; barriere pricee par gbm_mc (1000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1425 an; greeks barriere/PDI/PDO par differences finies MC gbm_mc (1000 paths, seed 12345)"
Options;AAPL;2026-04-27;2026-06-30;put;260.0;100000.0;100000.0;587551.3447102199;-33437.775192018;1571.8697593565234;4346004.776427215;-3450348.4554429264;-1055363.0032443807;1;0;"vol extrapolee depuis maturite marche 0.1425 an; barriere pricee par gbm_mc (1000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1425 an; greeks barriere/PDI/PDO par differences finies MC gbm_mc (1000 paths, seed 12345)"
Options;AAPL;2026-04-27;2026-06-30;call;280.0;-100000.0;100000.0;-882921.7093589747;-42830.46567542462;-1314.5698188397193;-4454810.943446909;3737946.2487640423;-1880846.7659493794;1;0;"vol extrapolee depuis maturite marche 0.1425 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1425 an; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-09-30;put;200.0;100000.0;-100000.0;239348.05973924257;-7413.207927420207;214.51748314577682;2486276.080576283;-990929.5742443172;-961119.0697582179;1;0;"vol extrapolee depuis maturite marche 0.3945 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.3945 an; greeks analytiques bs"
Options;AAPL;2026-04-27;2026-09-30;put;230.0;-100000.0;-100000.0;-572625.9279825023;16928.237697126802;-440.4367824812663;-4472138.241669786;1502133.405918819;2205880.173990603;1;0;"vol extrapolee depuis maturite marche 0.3945 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.3945 an; greeks analytiques bs"
